model,parameter,estimate,std_error,ci95_low,ci95_high,rel_se_pct,species,design,tag
biexponential (3 rate parameters + N0),k_fast,0.5508156286306428,6.665214055521178,-12.513003920190865,13.61463517745215,1210.0626251457784,S. aureus,"sparse (8-point, 48 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),k_slow,0.5488609040555382,299253.23662616307,-586535.7949263755,586536.8926481836,54522600.24625149,S. aureus,"sparse (8-point, 48 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),logit_f,-10.736009362649146,218.6077500321857,-439.2071994257331,417.7351807004348,2036.2105010147225,S. aureus,"sparse (8-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),log10_N0,5.787886356013998,0.15068241571585758,5.492548821210917,6.083223890817079,2.6034100610715782,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_fast,0.00010000000000000057,0.49067426472600073,-0.9616215588629614,0.9618215588629614,490674.2647259979,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_slow,0.5467654750029819,0.032549969426494935,0.4829675349270518,0.610563415078912,5.953186679593736,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),logit_f,-8.682131196864528,0.37666246313936325,-9.42038962461768,-7.943872769111376,4.338364102069678,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),t_c,1.0000000000000002,0.7605687647898599,-0.4907147789881252,2.4907147789881257,76.05687647898597,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),log10_N0,5.965441727845986,0.08138294533110602,5.805931154997019,6.124952300694954,1.364240052018611,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),k_fast,0.5335401226195373,0.02925849264533331,0.476193477034684,0.5908867682043906,5.483841121766447,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),k_slow,0.011194232639957922,0.051171440864184556,-0.08910179145384381,0.11149025673375965,457.12325721664564,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),logit_f,-8.787615610966128,1.2768968837317385,-11.290333503080335,-6.284897718851921,14.530641077862915,S. aureus,"dense (16-point, 48 h)",SYNTHETIC (no experimental data in project)
