species,C_xMIC,knee_h,time_to_LOD_h,MDK99_h,MDK99.99_h,log10_drop_24h,dormant_fraction_at_inoculum,MIC_relative,k_PS_multiplier
Mtb,4.0,32.0,280.47232688681623,25.33796492258636,280.4723268857481,1.910913194162819,0.0025252956559846163,0.26472831180097495,
S. aureus,4.0,17.0,17.4688026019501,8.152526903135445,17.46880260195419,4.646569111721076,0.000166801029653861,0.7981488688541061,
Mtb,,,1063.3122505245153,,,,,,0.1
Mtb,,,1000.2225616428639,,,,,,0.12115276586285885
Mtb,,,932.986831627028,,,,,,0.14677992676220694
Mtb,,,862.5317276653236,,,,,,0.1778279410038923
Mtb,,,789.9983515680606,,,,,,0.21544346900318834
Mtb,,,716.6759548687311,,,,,,0.26101572156825364
Mtb,,,643.9141785064986,,,,,,0.31622776601683794
Mtb,,,573.0265085844065,,,,,,0.3831186849557287
Mtb,,,505.19918680933006,,,,,,0.46415888336127786
Mtb,,,441.41860394624484,,,,,,0.5623413251903491
Mtb,,,382.4257845518159,,,,,,0.6812920690579611
Mtb,,,328.70054942104105,,,,,,0.8254041852680184
Mtb,,,280.4723268869526,,,,,,1.0
Mtb,,,237.75083640550935,,,,,,1.2115276586285881
Mtb,,,200.3684276415183,,,,,,1.467799267622069
Mtb,,,168.02634810397382,,,,,,1.7782794100389228
Mtb,,,140.339066291476,,,,,,2.1544346900318834
Mtb,,,116.87305491306473,,,,,,2.610157215682536
Mtb,,,97.18025451869107,,,,,,3.1622776601683795
Mtb,,,80.85497828396312,,,,,,3.831186849557287
Mtb,,,67.80535771038156,,,,,,4.6415888336127775
Mtb,,,58.70436655041949,,,,,,5.623413251903491
Mtb,,,53.53542214723618,,,,,,6.812920690579611
Mtb,,,50.81428807789061,,,,,,8.254041852680182
Mtb,,,49.37677165024932,,,,,,10.0
S. aureus,,,33.980924390716254,,,,,,0.1
S. aureus,,,32.380558225281796,,,,,,0.12115276586285885
S. aureus,,,30.64698396577325,,,,,,0.14677992676220694
S. aureus,,,28.80267450525277,,,,,,0.1778279410038923
S. aureus,,,26.885371549731577,,,,,,0.21544346900318834
S. aureus,,,24.95934809228895,,,,,,0.26101572156825364
S. aureus,,,23.13066119208112,,,,,,0.31622776601683794
S. aureus,,,21.532679570590798,,,,,,0.3831186849557287
S. aureus,,,20.24795500586783,,,,,,0.46415888336127786
S. aureus,,,19.26059358935689,,,,,,0.5623413251903491
S. aureus,,,18.505869965992158,,,,,,0.6812920690579611
S. aureus,,,17.92293939504499,,,,,,0.8254041852680184
S. aureus,,,17.468802601941917,,,,,,1.0
S. aureus,,,17.115230824874008,,,,,,1.2115276586285881
S. aureus,,,16.843429578316158,,,,,,1.467799267622069
S. aureus,,,16.63989421863796,,,,,,1.7782794100389228
S. aureus,,,16.49357664253522,,,,,,2.1544346900318834
S. aureus,,,16.394116055563813,,,,,,2.610157215682536
S. aureus,,,16.33107585913691,,,,,,3.1622776601683795
S. aureus,,,16.2941736867521,,,,,,3.831186849557287
S. aureus,,,16.2742145366723,,,,,,4.6415888336127775
S. aureus,,,16.264064329502016,,,,,,5.623413251903491
S. aureus,,,16.25901713951875,,,,,,6.812920690579611
S. aureus,,,16.256428656752,,,,,,8.254041852680182
S. aureus,,,16.25499904710209,,,,,,10.0
