variant,MIC_fold_vs_wild_type,MDK99_h_at_own_MIC,MDK99.99_h_at_own_MIC,MDK99_h_at_wild_type_dose,MDK99.99_h_at_wild_type_dose,r,Emax_S,EC50,dormant_fraction
wild type,1.0,29.264046180523604,151.52199912651022,29.264046180523604,151.52199912651022,0.03,0.25,1.0,0.0004999998750625
resistant,16.00000000000003,29.26404618052407,151.52199912650957,inf,inf,0.03,0.25,16.0,0.0004999998750625
tolerant,1.0,116.66894558984032,256.8230685890724,116.66894558984032,256.8230685890724,0.0075,0.0625,1.0,0.0004999998750625
persistent,0.9999883735542267,32.100365589719324,351.6381580351716,32.10020521068736,351.6375990487609,0.03,0.25,1.0,0.004977599558210054
