species,design,model,n_obs,n_par,r_squared,rmse_log10,aic,aicc,bic,runs_test_z,jacobian_condition_number,max_rel_se_pct,t_c_fitted_h,t_c_hit_bound,t_c_derived_from_rates_h,mechanistic_knee_h,n_censored,tag
Mtb,"sparse (8-point, 240 h)",Eq. 4 as printed (4 rate parameters + N0),8,5,0.8991331545872497,0.35502671839767325,18.13402086332583,102.13402086332583,18.610670113404844,-0.6179143806533247,4.226353060324254e+16,4801.564098279689,1.0000000000000002,True,,25.0,0,SYNTHETIC (no experimental data in project)
Mtb,"sparse (8-point, 240 h)",biexponential (3 rate parameters + N0),8,4,0.9971289085086301,0.05989772601436854,-12.338851270542712,17.661148729457288,-11.941643562143533,0.20597146021777488,505.06112057742763,8.479554448335989,,False,26.78125779366817,25.0,0,SYNTHETIC (no experimental data in project)
Mtb,"dense (14-point, 240 h)",Eq. 4 as printed (4 rate parameters + N0),14,5,0.9278647157315456,0.2765694132984983,15.742062417796262,27.742062417796262,19.576406395487812,-2.225394561056747,5.012675147063416e+17,667.5993670734813,1.0000000000000002,True,1.3311101400560483,25.0,0,SYNTHETIC (no experimental data in project)
Mtb,"dense (14-point, 240 h)",biexponential (3 rate parameters + N0),14,4,0.9816579696392057,0.1394613865106239,-5.428811497092347,2.0711885029076527,-2.233524849016055,-0.48765241519834623,505.1504087017477,16.538407108368453,,False,22.40745061434958,25.0,0,SYNTHETIC (no experimental data in project)
S. aureus,"sparse (8-point, 48 h)",Eq. 4 as printed (4 rate parameters + N0),8,5,0.9461164513154761,0.36299729409701925,18.48925814690271,102.48925814690271,18.965907396981724,-2.2912878474779204,13426.487543487206,9733.579109322016,12.000000061431745,False,,15.0,3,SYNTHETIC (no experimental data in project)
S. aureus,"sparse (8-point, 48 h)",biexponential (3 rate parameters + N0),8,4,0.9930634376884412,0.13024091500001994,0.08910691109825564,30.089106911098256,0.4863146194974348,1.7457431218879391,1840165753.882752,54522600.24625149,,False,5492.338664681023,15.0,3,SYNTHETIC (no experimental data in project)
S. aureus,"dense (16-point, 48 h)",Eq. 4 as printed (4 rate parameters + N0),16,5,0.99312464508907,0.12493925885846908,-9.15164978269543,0.18168355063790464,-4.516117449256743,-0.2773500981126146,52.28637117297115,490674.2647259979,1.0000000000000002,True,,15.0,5,SYNTHETIC (no experimental data in project)
S. aureus,"dense (16-point, 48 h)",biexponential (3 rate parameters + N0),16,4,0.992536309132294,0.1301751798147311,-9.837941292758408,-3.8379412927584085,-5.974997681559502,1.135584536177721,157.09406657029717,457.12325721664564,,False,16.82336509110787,15.0,5,SYNTHETIC (no experimental data in project)
