species,design,model,parameter,estimate,ci95_low,ci95_high,ci95_width,ci_open_at_low_end,ci_open_at_high_end,identifiable,tag
Mtb,"sparse (8-point, 240 h)",Eq. 4 as printed (4 rate parameters + N0),t_c,1.0,1.0475,1.95,0.9024999999999999,True,True,False,SYNTHETIC (no experimental data in project)
Mtb,"sparse (8-point, 240 h)",biexponential (3 rate parameters + N0),k_slow,0.01440190691923148,0.012349635183240995,0.016454178655221967,0.004104543471980972,False,False,True,SYNTHETIC (no experimental data in project)
Mtb,"dense (14-point, 240 h)",Eq. 4 as printed (4 rate parameters + N0),t_c,1.0,1.0475,1.95,0.9024999999999999,True,True,False,SYNTHETIC (no experimental data in project)
Mtb,"dense (14-point, 240 h)",biexponential (3 rate parameters + N0),k_slow,0.010584632074583506,0.007065241909784491,0.014104022239382522,0.007038780329598031,False,False,True,SYNTHETIC (no experimental data in project)
S. aureus,"sparse (8-point, 48 h)",Eq. 4 as printed (4 rate parameters + N0),t_c,12.000000010154599,1.1700000009900737,14.850000012566317,13.680000011576244,True,False,False,SYNTHETIC (no experimental data in project)
S. aureus,"sparse (8-point, 48 h)",biexponential (3 rate parameters + N0),k_slow,0.5648096064138118,0.028240480320690597,0.9940649072883088,0.9658244269676182,True,True,False,SYNTHETIC (no experimental data in project)
S. aureus,"dense (16-point, 48 h)",Eq. 4 as printed (4 rate parameters + N0),t_c,1.0000000000000002,1.0000000000000002,1.7125000000000004,0.7125000000000001,True,False,False,SYNTHETIC (no experimental data in project)
S. aureus,"dense (16-point, 48 h)",biexponential (3 rate parameters + N0),k_slow,0.543295251665626,0.027164762583281377,0.982006167385619,0.9548414048023376,True,True,False,SYNTHETIC (no experimental data in project)
