species,endpoint,parameter,S1_first_order,ST_total,interaction_ST_minus_S1,output_variance,n_base_samples
Mtb,log10_drop_240h,r,-0.00046857554751014816,0.0001855046214545327,0.0006540801689646808,0.19890334812351568,512
Mtb,log10_drop_240h,Emax_S,0.000963011527890161,0.0031779175985184333,0.0022149060706282723,0.19890334812351568,512
Mtb,log10_drop_240h,Emax_P,0.029671936499601887,0.0299884002711447,0.00031646377154281174,0.19890334812351568,512
Mtb,log10_drop_240h,EC50,0.007273562992240513,0.008777755502700421,0.0015041925104599084,0.19890334812351568,512
Mtb,log10_drop_240h,H,0.0019753686773542013,0.002483349801572991,0.0005079811242187896,0.19890334812351568,512
Mtb,log10_drop_240h,k_SP,0.09388222547735614,0.09357063275405049,-0.0003115927233056509,0.19890334812351568,512
Mtb,log10_drop_240h,k_PS,0.8586438746435751,0.8620551886625816,0.003411314019006517,0.19890334812351568,512
Mtb,time_to_LOD_h,r,0.00016371469437515934,6.709377851718221e-05,-9.662091585797712e-05,21391.963600813597,512
Mtb,time_to_LOD_h,Emax_S,0.0009739872633323848,0.0010781388075919785,0.00010415154425959369,21391.963600813597,512
Mtb,time_to_LOD_h,Emax_P,0.0443968754093373,0.061395343064087136,0.016998467654749834,21391.963600813597,512
Mtb,time_to_LOD_h,EC50,0.013003696808765043,0.015261187022845821,0.0022574902140807783,21391.963600813597,512
Mtb,time_to_LOD_h,H,-0.0009696326867865178,0.0030035973883953512,0.003973230075181869,21391.963600813597,512
Mtb,time_to_LOD_h,k_SP,0.04624837029814185,0.04323512283269656,-0.00301324746544529,21391.963600813597,512
Mtb,time_to_LOD_h,k_PS,0.8733283214071557,0.8971473257819463,0.023819004374790675,21391.963600813597,512
Mtb,MDK99_h,r,0.007352592259523794,0.012173749856505075,0.004821157596981281,666.1175050085958,512
Mtb,MDK99_h,Emax_S,0.1975691934268616,0.21533534269597795,0.01776614926911635,666.1175050085958,512
Mtb,MDK99_h,Emax_P,-0.0011605583927374423,0.01773611812130921,0.018896676514046654,666.1175050085958,512
Mtb,MDK99_h,EC50,0.02057247838603607,0.014551477807634827,-0.006021000578401242,666.1175050085958,512
Mtb,MDK99_h,H,0.01567785296497802,0.019980683716028548,0.004302830751050528,666.1175050085958,512
Mtb,MDK99_h,k_SP,0.2133173855605396,0.406482863169489,0.1931654776089494,666.1175050085958,512
Mtb,MDK99_h,k_PS,0.33487839059605967,0.5333320570937562,0.19845366649769652,666.1175050085958,512
S. aureus,log10_drop_240h,r,-0.04483998641851331,0.6674475391735378,0.7122875255920511,21408.657575237517,512
S. aureus,log10_drop_240h,Emax_S,0.003220090152808064,0.5899248328778564,0.5867047427250482,21408.657575237517,512
S. aureus,log10_drop_240h,Emax_P,0.03450642422850427,0.39444957028980987,0.3599431460613056,21408.657575237517,512
S. aureus,log10_drop_240h,EC50,-0.020688244000488406,0.38985987866571126,0.41054812266619967,21408.657575237517,512
S. aureus,log10_drop_240h,H,-0.08731222255828061,0.46113181602405023,0.5484440385823308,21408.657575237517,512
S. aureus,log10_drop_240h,k_SP,-0.0094716476196215,0.34254568406611924,0.35201733168574073,21408.657575237517,512
S. aureus,log10_drop_240h,k_PS,0.16847667555168577,0.7345654852765416,0.5660888097248559,21408.657575237517,512
S. aureus,time_to_LOD_h,r,0.1713939734944451,0.6467315501956805,0.47533757670123544,237817.61942262563,512
S. aureus,time_to_LOD_h,Emax_S,0.21732208365024638,0.7975324976826689,0.5802104140324225,237817.61942262563,512
S. aureus,time_to_LOD_h,Emax_P,0.00010778374401612073,1.3698953721746395e-05,-9.408479029437434e-05,237817.61942262563,512
S. aureus,time_to_LOD_h,EC50,-0.0014115426197294039,0.16934458510733996,0.17075612772706936,237817.61942262563,512
S. aureus,time_to_LOD_h,H,0.0029423160822760835,0.23567877371427648,0.2327364576320004,237817.61942262563,512
S. aureus,time_to_LOD_h,k_SP,0.00013947127984570816,1.957108267300519e-05,-0.00011990019717270297,237817.61942262563,512
S. aureus,time_to_LOD_h,k_PS,-0.0005985475842008936,0.0001242507747127187,0.0007227983589136122,237817.61942262563,512
S. aureus,MDK99_h,r,0.1680975230510745,0.6556935290542438,0.4875960060031693,239057.83242174968,512
S. aureus,MDK99_h,Emax_S,0.1948385780868481,0.8133023813560688,0.6184638032692207,239057.83242174968,512
S. aureus,MDK99_h,Emax_P,1.7242493924481444e-07,1.2561250663665153e-09,-1.7116881417844793e-07,239057.83242174968,512
S. aureus,MDK99_h,EC50,-0.0006996187133039077,0.19117009953018574,0.19186971824348964,239057.83242174968,512
S. aureus,MDK99_h,H,0.0014883899713840016,0.24580669754538523,0.24431830757400122,239057.83242174968,512
S. aureus,MDK99_h,k_SP,2.3584630938825454e-06,6.147145082764292e-09,-2.352315948799781e-06,239057.83242174968,512
S. aureus,MDK99_h,k_PS,6.0233931351229945e-09,1.2464470360255748e-08,6.441077225132753e-09,239057.83242174968,512
